IDX,iForest_AnomalyScore
281,0.091658
282,0.121252
283,0.054137
284,0.090035
285,0.141508
286,0.079195
287,0.118818
288,0.128844
289,0.128070
290,0.143899
291,0.117339
292,0.128556
293,0.073479
294,0.065608
295,0.128630
296,0.108401
297,0.115323
298,0.102149
299,0.100962
300,0.140190
301,0.120710
302,0.116456
303,0.083352
304,0.133428
305,0.118171
306,0.090000
307,0.133503
308,0.088572
309,0.140703
310,0.147996
311,0.116159
312,0.099666
313,0.137730
314,0.123447
315,0.140156
316,0.123684
317,0.079847
318,0.114360
319,0.133213
320,0.109993
321,0.127841
322,0.121078
323,0.099236
324,0.114222
325,0.082457
326,0.117379
327,0.094084
328,0.113121
329,0.106592
330,0.116861
331,0.118276
332,0.122533
333,0.106895
334,0.119309
335,0.118480
336,0.136750
337,0.113790
338,0.129934
339,0.078228
340,0.119938
341,0.093522
342,0.137333
343,0.126709
344,0.136421
345,0.138908
346,0.132345
347,0.088931
348,0.121144
349,0.119784
350,0.134783
351,0.142253
352,0.100933
353,0.134518
354,0.139292
355,0.137578
356,0.125226
357,0.139305
358,0.141704
359,0.085524
360,0.060567
361,0.111743
362,0.138571
363,0.137774
364,0.145882
365,0.099772
366,0.144751
367,0.105684
368,0.130921
369,0.123967
370,0.142784
371,0.116362
372,0.140216
373,0.124835
374,0.117727
375,0.075771
376,0.134510
377,0.112491
378,0.078736
379,0.139625
380,0.081455
381,0.096115
382,0.137210
383,0.132297
384,0.127501
385,0.062046
386,0.097644
387,0.127166
388,0.149293
389,0.134097
390,0.120944
391,0.077028
392,0.099232
393,0.108304
394,0.134744
395,0.117346
396,0.138026
397,0.141030
398,0.144377
399,0.070695
400,0.078318
401,0.128858
402,0.114175
403,0.112569
404,0.108393
405,0.105107
406,0.134127
407,0.121910
408,0.146896
409,0.127876
410,0.089604
411,0.117958
412,0.142721
413,0.129356
414,0.118582
415,0.098836
416,0.141317
417,0.136073
418,0.131290
419,0.132628
420,0.137606
421,0.120970
422,0.136495
423,0.135142
424,0.077904
425,0.115232
426,0.073292
427,0.081731
428,0.129480
429,0.061042
430,0.131305
431,0.131668
432,0.096820
433,0.113079
434,0.123134
435,0.070472
436,0.135891
437,0.111751
438,0.123656
439,0.104421
440,0.035866
441,0.140138
442,0.137459
443,0.142623
444,0.121292
445,0.107399
446,0.107193
447,0.141261
448,0.098139
449,0.118709
450,0.150723
451,0.109440
452,0.092354
453,0.081608
454,0.144779
455,0.143895
456,0.130786
457,0.105459
458,0.066315
459,0.122845
460,0.127135
461,0.123628
462,0.059904
463,0.134363
464,0.035215
465,0.101614
466,0.148173
467,0.088952
468,0.099864
469,0.095367
470,0.140091
471,0.126694
472,0.125444
473,0.080083
474,0.129558
475,0.142864
476,0.128379
477,0.108313
478,0.111986
479,0.117644
480,0.116121
481,0.112398
482,0.139825
483,0.089842
484,0.143791
485,0.094348
486,0.102259
487,0.120415
488,0.101249
489,0.093186
490,0.099209
491,0.126109
492,0.135226
493,0.094098
494,0.076974
495,0.081833
496,0.116864
497,0.112507
498,0.133090
499,0.113838
500,0.121418
501,0.123476
502,0.145930
503,0.124333
504,0.072864
505,0.117287
506,0.090498
507,0.140573
508,0.138643
509,0.104181
510,0.140108
511,0.113788
512,0.102374
513,0.112802
514,0.137363
515,0.074948
516,0.096702
517,0.112434
518,0.133753
519,0.079354
520,0.126346
521,0.080708
522,0.118508
523,0.131515
524,0.090350
525,0.108462
526,0.058034
527,0.116315
528,0.076575
529,0.129249
530,0.113725
531,0.104638
532,0.115681
533,0.123828
534,0.097115
535,0.130091
536,0.128911
537,0.119377
538,0.145248
539,0.098929
540,0.132481
541,0.110547
542,0.110306
543,0.129679
544,0.102390
545,0.131785
546,0.098644
547,0.130966
548,0.095459
549,0.124102
550,0.132950
551,0.104523
552,0.140361
553,0.137143
554,0.080073
555,0.102969
556,0.140807
557,0.116010
558,0.121441
559,0.099582
560,0.141944
561,0.108663
562,0.097377
563,0.083029
564,0.126793
565,0.105686
566,0.141098
567,0.119440
568,0.106055
569,0.100923
570,0.081367
571,0.108030
572,0.145236
573,0.145186
574,0.141967
575,0.128149
576,0.133407
577,0.086712
578,0.127279
579,0.120586
580,0.130762
581,0.119770
582,0.108726
583,0.125385
584,0.125800
585,0.126121
586,0.139561
587,0.131779
588,0.142409
589,0.127234
590,0.128731
591,0.079880
592,0.129087
593,0.136320
594,0.118254
595,0.115828
596,0.078229
597,0.104999
598,0.090932
599,0.115822
600,0.140401
601,0.137845
602,0.119243
603,0.095502
604,0.152720
605,0.100846
606,0.062748
607,0.107759
608,0.110993
609,0.137447
610,0.094223
611,0.136146
612,0.104032
613,0.111202
614,0.104641
615,0.124462
616,0.106301
617,0.107714
618,0.143222
619,0.109529
620,0.073837
621,0.138012
622,0.067121
623,0.115359
624,0.129830
625,0.127741
626,0.092847
627,0.122130
628,0.134953
629,0.108243
630,0.137417
631,0.114823
632,0.080782
633,0.084313
634,0.148266
635,0.103804
636,0.136965
637,0.142978
638,0.143469
639,0.107114
640,0.080526
641,0.136623
642,0.102555
643,0.113322
644,0.134473
645,0.101767
646,0.135313
647,0.119566
648,0.143211
649,0.119172
650,0.108669
651,0.107818
652,0.141647
653,0.116636
654,0.123703
655,0.109284
656,0.106757
657,0.104817
658,0.093762
659,0.115714
660,0.141438
661,0.109376
662,0.107902
663,0.113329
664,0.111260
665,0.084946
666,0.117717
667,0.088616
668,0.099307
669,0.089803
670,0.047067
671,0.132532
672,0.124558
673,0.086125
674,0.134952
675,0.110555
676,0.146827
677,0.101052
678,0.144366
679,0.118144
680,0.126204
681,0.098201
682,0.135211
683,0.112282
684,0.105530
685,0.125570
686,0.116985
687,0.121786
688,0.111476
689,0.085084
690,0.119374
691,0.135288
692,0.111083
693,0.104763
694,0.125704
695,0.113507
696,0.134223
697,0.099009
698,0.141626
699,0.100852
700,0.130512
701,0.093112
702,0.101576
703,0.106963
704,0.075849
705,0.105052
706,0.093755
707,0.133159
708,0.133390
709,0.094550
710,0.143169
711,0.138505
712,0.100601
713,0.056975
714,0.117853
715,0.110709
716,0.104296
717,0.089880
718,0.120776
719,0.082992
720,0.141888
721,0.100036
722,0.087432
723,0.107014
724,0.092848
725,0.105718
726,0.121576
727,0.127588
728,0.146433
729,0.101708
730,0.114097
731,0.112744
732,0.079976
733,0.072433
734,0.082117
735,0.106206
736,0.138575
737,0.100793
738,0.148770
739,0.091216
740,0.134310
741,0.130342
742,0.111046
743,0.058604
744,0.127521
745,0.061545
746,0.139522
747,0.145042
748,0.119262
749,0.114388
750,0.131755
751,0.105572
752,0.104622
753,0.122100
754,0.148670
755,0.121582
756,0.049499
757,0.109237
758,0.087705
759,0.090106
760,0.114322
761,0.110021
762,0.121917
763,0.109820
764,0.082996
765,0.135888
766,0.112448
767,0.118509
768,0.126429
769,0.082173
770,0.109729
771,0.111002
772,0.090952
773,0.125775
774,0.096138
775,0.129607
776,0.119506
777,0.107840
778,0.133483
779,0.134873
780,0.146707
781,0.061386
782,0.138873
783,0.137414
784,0.123778
785,0.107680
786,0.138395
787,0.086096
788,0.136206
789,0.120937
790,0.076018
791,0.110743
792,0.094078
793,0.123263
794,0.098613
795,0.136752
796,0.138421
797,0.112007
798,0.129736
799,0.113433
800,0.124006
801,0.097690
802,0.121316
803,0.127222
804,0.083389
805,0.127174
806,0.128660
807,0.111369
808,0.138044
809,0.139742
810,0.096932
811,0.119062
812,0.136428
813,0.103208
814,0.058704
815,0.115181
816,0.123205
817,0.118982
818,0.104945
819,0.127557
820,0.121252
821,0.126648
822,0.150593
823,0.113959
824,0.127213
825,0.078982
826,0.067946
827,0.130077
828,0.044797
829,0.107997
830,0.104218
831,0.091014
832,0.141766
833,0.137700
834,0.135099
835,0.137457
836,0.105678
837,0.115158
838,0.146056
839,0.120396
840,0.107641
841,0.108680
842,0.108791
843,0.111312
844,0.114666
845,0.106447
846,0.101285
847,0.102636
848,0.094203
849,0.084620
850,0.113761
851,0.103776
852,0.137080
853,0.115284
854,0.131204
855,0.101585
856,0.136018
857,0.110689
858,0.137740
859,0.085213
860,0.108874
861,0.106446
862,0.100164
863,0.118345
864,0.146669
865,0.101646
866,0.079167
867,0.105659
868,0.135046
869,0.102209
870,0.131965
871,0.141819
872,0.015677
873,0.075062
874,0.084822
875,0.060247
876,0.134072
877,0.109428
878,0.139936
879,0.119423
880,0.126477
881,0.116624
882,0.088683
883,0.096162
884,0.143623
885,0.115887
886,0.077536
887,0.101693
888,0.131238
889,0.085467
890,0.112718
891,0.142952
892,0.132302
893,0.069234
894,0.107860
895,0.081586
896,0.090491
897,0.109308
898,0.125372
899,0.121809
900,0.140164
901,0.117426
902,0.113136
903,0.083956
904,0.108414
905,0.134817
906,0.109499
907,0.068081
908,0.095608
909,0.076501
910,0.099579
911,0.096295
912,0.132846
913,0.096402
914,0.112268
915,0.123128
916,0.106146
917,0.087927
918,0.125651
919,0.138133
920,0.139532
921,0.106654
922,0.146695
923,0.105829
924,0.079857
925,0.090367
926,0.103741
927,0.096180
928,0.122484
929,0.111340
930,0.114289
931,0.086611
932,0.123582
933,0.107887
934,0.114776
935,0.118430
936,0.133834
937,0.113486
938,0.133004
939,0.134398
940,0.121810
941,0.150562
942,0.067998
943,0.106084
944,0.065827
945,0.131076
946,0.107047
947,0.133211
948,0.117201
949,0.101373
950,0.107803
951,0.138680
952,0.120067
953,0.106075
954,0.117679
955,0.127954
956,0.123516
957,0.110509
958,0.115261
959,0.129371
960,0.102183
961,0.143372
962,0.101007
963,0.121963
964,0.117448
965,0.098733
966,0.107398
967,0.102907
968,0.135632
969,0.108486
970,0.114146
971,0.130681
972,0.079012
973,0.121454
974,0.099955
975,0.085305
976,0.123224
977,0.114718
978,0.142160
979,0.108467
980,0.140750
981,0.074651
982,0.142796
983,0.112790
984,0.087808
985,0.117538
986,0.094954
987,0.108832
988,0.110219
989,0.082307
990,0.085100
991,0.119410
992,0.106564
993,0.148694
994,0.089547
995,0.080997
996,0.127023
997,0.098645
998,0.107349
999,0.114820
1000,0.117064
1001,0.085925
1002,0.145579
1003,0.142404
1004,0.143988
1005,0.097004
1006,0.137104
1007,0.115998
1008,0.111084
1009,0.113561
1010,0.083274
1011,0.087552
1012,0.147469
1013,0.107024
1014,0.106621
1015,0.091609
1016,0.125048
1017,0.148997
1018,0.100318
1019,0.096955
1020,0.120321
1021,0.132147
1022,0.141380
1023,0.129782
1024,0.111845
1025,0.133848
1026,0.125110
1027,0.139889
1028,0.056032
1029,0.091075
1030,0.061359
1031,0.151703
1032,0.130467
1033,0.096941
1034,0.093038
1035,0.117605
1036,0.122804
1037,0.139499
1038,0.120983
1039,0.115443
1040,0.049340
1041,0.110628
1042,0.126349
1043,0.089938
1044,0.144758
1045,0.110526
1046,0.111939
1047,0.094942
1048,0.086326
1049,0.091428
1050,0.103828
1051,0.147147
1052,0.143803
1053,0.091039
1054,0.104688
1055,0.121315
1056,0.129571
1057,0.118660
1058,0.122168
1059,0.127392
1060,0.148025
1061,0.132030
1062,0.127034
1063,0.137218
1064,0.120849
1065,0.141332
1066,0.130366
1067,0.099466
1068,0.130953
1069,0.121427
1070,0.135828
1071,0.126023
1072,0.107719
1073,0.122377
1074,0.133253
1075,0.100568
1076,0.103138
1077,0.104973
1078,0.072390
1079,0.137872
1080,0.153468
1081,0.149049
1082,0.120217
1083,0.094797
1084,0.144239
1085,0.144551
1086,0.135996
1087,0.107680
1088,0.147711
1089,0.125251
1090,0.098097
1091,0.097895
1092,0.117547
1093,0.088068
1094,0.130184
1095,0.148957
1096,0.082727
1097,0.052283
1098,0.143694
1099,0.120726
1100,0.139859
1101,0.130242
1102,0.083890
1103,0.124388
1104,0.116373
1105,0.107481
1106,0.142395
1107,0.092146
1108,0.064897
1109,0.117528
1110,0.144839
1111,0.118562
1112,0.129335
1113,0.133309
1114,0.129896
1115,0.133987
1116,0.116236
1117,0.133088
1118,0.141764
1119,0.110439
1120,0.115521
1121,0.103165
1122,0.112352
1123,0.139754
1124,0.113995
1125,0.100411
1126,0.131521
1127,0.090286
1128,0.108784
1129,0.103194
1130,0.118660
1131,0.152378
1132,0.147694
1133,0.130533
1134,0.092078
1135,0.130792
1136,0.120549
1137,0.112527
1138,0.131634
1139,0.117855
1140,0.107775
1141,0.094167
1142,0.121254
1143,0.127502
1144,0.131118
1145,0.122611
1146,0.124233
1147,0.122874
1148,0.124055
1149,0.139932
1150,0.111415
1151,0.119909
1152,0.097237
1153,0.118201
1154,0.116845
1155,0.148798
1156,0.128168
1157,0.108578
1158,0.079423
1159,0.116052
1160,0.090720
1161,0.124429
1162,0.082549
1163,0.121800
1164,0.124804
1165,0.119633
1166,0.141234
1167,0.129777
1168,0.146111
1169,0.136090
1170,0.128976
1171,0.124345
1172,0.115688
1173,0.129558
1174,0.141644
1175,0.117913
1176,0.077695
1177,0.134121
1178,0.136386
1179,0.092395
1180,0.100842
1181,0.137234
1182,0.135850
1183,0.070163
1184,0.104827
1185,0.103650
1186,0.103822
1187,0.096060
1188,0.089252
1189,0.086517
1190,0.098640
1191,0.107985
1192,0.139667
1193,0.079494
1194,0.105165
1195,0.098240
1196,0.085716
1197,0.134230
1198,0.124974
1199,0.069574
1200,0.146684
1201,0.100276
1202,0.126158
1203,0.110794
1204,0.135722
1205,0.109563
1206,0.087069
1207,0.079114
1208,0.107015
1209,0.057171
1210,0.117202
1211,0.132968
1212,0.120275
1213,0.075424
1214,0.086557
1215,0.062159
1216,0.128364
1217,0.112454
1218,0.130618
1219,0.085399
1220,0.106413
1221,0.107866
1222,0.114484
1223,0.097994
1224,0.126995
1225,0.114689
1226,0.109242
1227,0.116735
1228,0.137277
1229,0.138005
1230,0.146863
1231,0.106670
1232,0.128423
1233,0.100540
1234,0.134660
1235,0.127586
1236,0.120457
1237,0.112737
1238,0.144441
1239,0.091876
1240,0.141093
1241,0.079901
1242,0.147135
1243,0.130249
1244,0.112066
1245,0.082847
1246,0.113432
1247,0.077532
1248,0.104509
1249,0.075133
1250,0.139443
1251,0.114693
1252,0.141259
1253,0.082803
1254,0.125692
1255,0.064862
1256,0.144626
1257,0.109338
1258,0.107133
1259,0.133069
1260,0.099773
1261,0.092097
1262,0.072537
1263,0.084793
1264,0.089332
1265,0.082404
1266,0.079306
1267,0.054822
1268,0.116194
1269,0.053731
1270,0.134319
1271,0.071525
1272,0.102747
1273,0.066810
1274,0.102749
1275,0.108622
1276,0.076603
1277,0.133224
1278,0.117413
1279,0.094588
1280,0.136727
1281,0.117926
1282,0.124086
1283,0.114717
1284,0.139340
1285,0.117391
1286,0.131074
1287,0.130876
1288,0.110743
1289,0.098596
1290,0.044641
1291,0.110124
1292,0.131075
1293,0.136006
1294,0.133182
1295,0.084262
1296,0.109647
1297,0.102698
1298,0.117977
1299,0.087304
1300,0.134618
1301,0.058841
1302,0.101780
1303,0.091668
1304,0.093160
1305,0.112178
1306,0.059293
1307,0.126279
1308,0.126511
1309,0.108223
1310,0.065213
1311,0.106474
1312,0.121862
1313,0.090208
1314,0.086925
1315,0.097666
1316,0.133358
1317,0.098311
1318,0.119816
1319,0.079776
1320,0.121720
1321,0.138732
1322,0.101520
1323,0.110416
1324,0.113204
1325,0.106303
1326,0.121556
1327,0.095840
1328,0.127519
1329,0.103149
1330,0.122061
1331,0.135508
1332,0.102593
1333,0.119290
1334,0.100364
1335,0.128528
1336,0.114893
1337,0.110434
1338,0.119084
1339,0.092254
1340,0.116273
1341,0.120212
1342,0.140237
1343,0.108037
1344,0.116878
1345,0.104782
1346,0.086630
1347,0.133965
1348,0.134631
1349,0.099365
1350,0.128512
1351,0.102692
1352,0.096951
1353,0.122183
1354,0.143287
1355,0.124840
1356,0.081591
1357,0.124646
1358,0.110004
1359,0.085635
1360,0.125899
1361,0.085559
1362,0.133823
1363,0.051633
1364,0.085598
1365,0.131983
1366,0.067866
1367,0.039625
1368,0.083942
1369,0.133074
1370,0.115497
1371,0.053886
1372,0.076609
1373,0.107139
1374,0.115754
1375,0.128101
1376,0.117213
1377,0.089290
1378,0.128789
1379,0.118867
1380,0.081195
1381,0.118589
1382,0.074918
1383,0.123136
1384,0.120231
1385,0.108309
1386,0.076047
1387,0.095045
1388,0.106703
1389,0.108490
1390,0.113505
1391,0.108723
1392,0.124158
1393,0.103938
1394,0.145528
1395,0.073766
1396,0.136986
1397,0.055732
1398,0.118315
1399,0.118754
1400,0.100995
1401,0.092209
1402,0.080270
1403,0.087964
1404,0.112945
1405,0.133098
1406,0.115343
1407,0.090957
1408,0.120624
1409,0.090428
1410,0.129468
1411,0.112305
1412,0.132803
1413,0.113560
1414,0.099241
1415,0.114720
1416,0.102672
1417,0.103406
1418,0.122131
1419,0.125755
1420,0.050791
1421,0.129580
1422,0.129570
1423,0.089744
1424,0.085025
1425,0.134098
1426,0.130125
1427,0.091673
1428,0.124035
1429,0.103604
1430,0.120493
1431,0.110741
1432,0.069768
1433,0.127762
1434,0.137753
1435,0.111466
1436,0.133073
1437,0.080226
1438,0.118190
1439,0.101064
1440,0.072224
1441,0.125270
1442,0.118703
1443,0.078669
1444,0.111805
1445,0.140388
1446,0.119096
1447,0.092914
1448,0.030091
1449,0.094541
1450,0.142865
1451,0.099816
1452,0.147670
1453,0.088558
1454,0.107226
1455,0.133987
1456,0.118267
1457,0.132088
1458,0.148400
1459,0.120881
1460,0.090185
1461,0.091639
1462,0.116995
1463,0.151730
1464,0.143626
1465,0.111215
1466,0.013990
1467,0.127675
1468,0.131563
1469,0.100684
1470,0.109108
1471,0.078558
1472,0.133390
1473,0.142738
1474,0.124291
1475,0.114794
1476,0.131408
1477,0.109124
1478,0.103429
1479,0.068714
1480,0.047285
1481,0.125393
1482,0.135783
1483,0.144887
1484,0.098384
1485,0.122517
1486,0.125798
1487,0.116327
1488,0.110358
1489,0.067846
1490,0.105482
1491,0.137507
1492,0.124475
1493,0.133573
1494,0.086366
1495,0.058356
1496,0.141861
1497,0.135913
1498,0.139874
1499,0.111088
1500,0.141738
1501,0.074096
1502,0.099180
1503,0.121028
1504,0.089986
1505,0.086159
1506,0.135362
1507,0.126240
1508,0.123322
1509,0.130642
1510,0.136156
1511,0.096198
1512,0.123787
1513,0.110477
1514,0.125257
1515,0.121585
1516,0.131200
1517,0.068199
1518,0.095603
1519,0.114560
1520,0.103665
1521,0.150128
1522,0.103255
1523,0.114357
1524,0.141420
1525,0.113416
1526,0.070941
1527,0.141689
1528,0.136056
1529,0.112998
1530,0.084896
1531,0.115960
1532,0.079330
1533,0.114442
1534,0.079308
1535,0.123223
1536,0.108353
1537,0.104796
1538,0.089266
1539,0.098054
1540,0.116725
1541,0.097663
1542,0.131745
1543,0.121328
1544,0.142697
1545,0.124041
1546,0.115990
1547,0.129655
1548,0.142294
1549,0.092415
1550,0.084281
1551,0.115488
1552,0.134556
1553,0.130132
1554,0.134454
1555,0.123386
1556,0.113572
1557,0.127438
1558,0.073884
1559,0.115828
1560,0.106964
1561,0.080759
1562,0.129179
1563,0.095611
1564,0.124678
1565,0.110365
1566,0.103722
1567,0.114971
1568,0.117595
1569,0.111794
1570,0.141509
1571,0.073123
1572,0.134135
1573,0.124796
1574,0.092991
1575,0.120653
1576,0.137505
1577,0.130220
1578,0.102553
1579,0.141747
1580,0.111917
1581,0.104965
1582,0.114482
1583,0.085438
1584,0.092131
1585,0.133926
1586,0.080655
1587,0.126334
1588,0.112645
1589,0.101419
1590,0.068734
1591,0.114628
1592,0.125788
1593,0.100013
1594,0.141162
1595,0.116428
1596,0.082163
1597,0.146277
1598,0.122898
1599,0.112539
1600,0.124756
1601,0.138791
1602,0.081344
1603,0.112438
1604,0.113940
1605,0.111034
1606,0.109604
1607,0.150049
1608,0.114516
1609,0.091365
1610,0.110715
1611,0.100520
1612,0.139578
1613,0.127143
1614,0.133160
1615,0.107780
1616,0.099140
1617,0.132191
1618,0.047833
1619,0.124543
1620,0.093160
1621,0.120327
1622,0.084929
1623,0.136122
1624,0.097705
1625,0.093345
1626,0.093530
1627,0.147457
1628,0.117113
1629,0.072974
1630,0.134727
1631,0.107376
1632,0.121722
1633,0.104776
1634,0.118014
1635,0.119677
1636,0.125356
1637,0.115758
1638,0.123713
1639,0.125725
1640,0.142495
1641,0.114764
1642,0.098214
1643,0.139802
1644,0.114304
1645,0.061934
1646,0.093740
1647,0.145640
1648,0.107363
1649,0.064389
1650,0.127167
1651,0.107337
1652,0.076197
1653,0.127798
1654,0.148166
1655,0.123160
1656,0.140383
1657,0.122124
1658,0.145105
1659,0.138128
1660,0.111301
1661,0.109281
1662,0.112066
1663,0.138460
1664,0.062638
1665,0.145376
1666,0.117853
1667,0.138816
1668,0.141172
1669,0.125088
1670,0.125677
1671,0.135080
1672,0.093735
1673,0.128305
1674,0.088688
1675,0.122628
1676,0.130822
1677,0.111241
1678,0.055980
1679,0.079408
1680,0.146416
1681,0.144332
1682,0.071103
1683,0.117821
1684,0.109800
1685,0.101515
1686,0.139728
1687,0.125660
1688,0.091057
1689,0.126192
1690,0.096992
1691,0.128491
1692,0.116758
1693,0.136065
1694,0.123702
1695,0.122237
1696,0.140254
1697,0.147485
1698,0.110834
1699,0.146630
1700,0.143119
1701,0.092233
1702,0.064951
1703,0.145291
1704,0.131662
1705,0.131293
1706,0.133305
1707,0.129801
1708,0.122921
1709,0.102186
1710,0.140362
1711,0.085846
1712,0.104985
1713,0.116955
1714,0.133040
1715,0.081506
1716,0.147740
1717,0.143817
1718,0.135158
1719,0.107838
1720,0.140870
1721,0.104655
1722,0.119106
1723,0.063910
1724,0.066069
1725,0.066243
1726,0.122186
1727,0.110721
1728,0.129929
1729,0.064262
1730,0.134441
1731,0.101081
1732,0.127049
1733,0.135707
1734,0.144563
1735,0.122507
1736,0.137589
1737,0.111900
1738,0.129667
1739,0.122899
1740,0.114526
1741,0.113790
1742,0.083457
1743,0.124847
1744,0.135039
1745,0.115006
1746,0.128029
1747,0.127462
1748,0.115917
1749,0.122853
1750,0.121927
1751,0.125907
1752,0.120558
1753,0.109383
1754,0.092403
1755,0.108807
1756,0.105787
1757,0.106576
1758,0.110185
1759,0.077832
1760,0.124853
1761,0.127016
1762,0.133500
1763,0.142675
1764,0.113437
1765,0.139185
1766,0.109669
1767,0.139783
1768,0.088261
1769,0.095237
1770,0.144050
1771,0.063226
1772,0.094785
1773,0.132991
1774,0.094023
1775,0.080690
1776,0.098987
1777,0.131754
1778,0.081530
1779,0.137130
1780,0.114683
1781,0.127042
1782,0.109524
1783,0.113594
1784,0.102775
1785,0.128643
1786,0.144666
1787,0.146317
1788,0.132158
1789,0.127872
1790,0.070867
1791,0.109124
1792,0.127629
1793,0.115112
1794,0.111511
1795,0.119852
1796,0.118740
1797,0.084938
1798,0.078685
1799,0.126111
1800,0.100643
1801,0.128813
1802,0.116159
1803,0.123006
1804,0.114967
1805,0.133660
1806,0.116508
1807,0.144062
1808,0.111973
1809,0.116022
1810,0.121148
1811,0.125919
1812,0.124680
1813,0.123942
1814,0.091106
1815,0.147612
1816,0.139784
1817,0.112268
1818,0.127169
1819,0.079399
1820,0.105436
1821,0.138436
1822,0.148316
1823,0.124283
1824,0.122462
1825,0.120668
1826,0.063556
1827,0.129858
1828,0.067423
1829,0.120097
1830,0.128982
1831,0.143821
1832,0.143265
1833,0.117464
1834,0.117911
1835,0.129506
1836,0.130354
1837,0.089441
1838,0.138249
1839,0.138734
1840,0.098736
1841,0.088151
1842,0.106687
1843,0.071942
1844,0.098756
1845,0.078443
1846,0.137556
1847,0.110383
1848,0.132273
1849,0.100745
1850,0.151704
1851,0.073125
1852,0.133286
1853,0.116148
1854,0.131679
1855,0.117686
1856,0.095220
1857,0.072705
1858,0.127433
1859,0.135364
1860,0.132871
1861,0.098155
1862,0.125301
1863,0.080718
1864,0.133832
1865,0.081713
1866,0.131127
1867,0.099246
1868,0.080713
1869,0.104775
1870,0.134683
